configuration_id,architecture,variant,canonical_variant,alias_resolution,seed,source_variant,source_state_policy,pruning_ratio,physical_compaction,fake_quantization,training_mode,budget_name,optimizer,learning_rate,batch_size,max_epochs,early_stopping_patience,early_stopping_min_delta,weight_decay,selection_metric,phase5_test_evaluation_count,test_policy,output_directory,status
tinyml_mlp__p25_noft__seed_42,tinyml_mlp,P25-noFT,P25-noFT,,42,B0,independent_physical_pruning_from_B0,0.25,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_noft\seed_42,locked_not_started
tinyml_mlp__p25_noft__seed_123,tinyml_mlp,P25-noFT,P25-noFT,,123,B0,independent_physical_pruning_from_B0,0.25,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_noft\seed_123,locked_not_started
tinyml_mlp__p25_noft__seed_2026,tinyml_mlp,P25-noFT,P25-noFT,,2026,B0,independent_physical_pruning_from_B0,0.25,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_noft\seed_2026,locked_not_started
tinyml_mlp__p25_noft__seed_3407,tinyml_mlp,P25-noFT,P25-noFT,,3407,B0,independent_physical_pruning_from_B0,0.25,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_noft\seed_3407,locked_not_started
tinyml_mlp__p25_noft__seed_8192,tinyml_mlp,P25-noFT,P25-noFT,,8192,B0,independent_physical_pruning_from_B0,0.25,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_noft\seed_8192,locked_not_started
tinyml_mlp__p25__seed_42,tinyml_mlp,P25,P25-FP32-FT,P25-FP32-FT,42,P25-noFT,identical_P25_noFT_state_shared_with_P25_QAT,0.25,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25\seed_42,locked_not_started
tinyml_mlp__p25__seed_123,tinyml_mlp,P25,P25-FP32-FT,P25-FP32-FT,123,P25-noFT,identical_P25_noFT_state_shared_with_P25_QAT,0.25,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25\seed_123,locked_not_started
tinyml_mlp__p25__seed_2026,tinyml_mlp,P25,P25-FP32-FT,P25-FP32-FT,2026,P25-noFT,identical_P25_noFT_state_shared_with_P25_QAT,0.25,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25\seed_2026,locked_not_started
tinyml_mlp__p25__seed_3407,tinyml_mlp,P25,P25-FP32-FT,P25-FP32-FT,3407,P25-noFT,identical_P25_noFT_state_shared_with_P25_QAT,0.25,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25\seed_3407,locked_not_started
tinyml_mlp__p25__seed_8192,tinyml_mlp,P25,P25-FP32-FT,P25-FP32-FT,8192,P25-noFT,identical_P25_noFT_state_shared_with_P25_QAT,0.25,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25\seed_8192,locked_not_started
tinyml_mlp__p50_noft__seed_42,tinyml_mlp,P50-noFT,P50-noFT,,42,B0,independent_physical_pruning_from_B0,0.5,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_noft\seed_42,locked_not_started
tinyml_mlp__p50_noft__seed_123,tinyml_mlp,P50-noFT,P50-noFT,,123,B0,independent_physical_pruning_from_B0,0.5,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_noft\seed_123,locked_not_started
tinyml_mlp__p50_noft__seed_2026,tinyml_mlp,P50-noFT,P50-noFT,,2026,B0,independent_physical_pruning_from_B0,0.5,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_noft\seed_2026,locked_not_started
tinyml_mlp__p50_noft__seed_3407,tinyml_mlp,P50-noFT,P50-noFT,,3407,B0,independent_physical_pruning_from_B0,0.5,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_noft\seed_3407,locked_not_started
tinyml_mlp__p50_noft__seed_8192,tinyml_mlp,P50-noFT,P50-noFT,,8192,B0,independent_physical_pruning_from_B0,0.5,True,False,no_updates_after_pruning,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_noft\seed_8192,locked_not_started
tinyml_mlp__p50__seed_42,tinyml_mlp,P50,P50-FP32-FT,P50-FP32-FT,42,P50-noFT,identical_P50_noFT_state_shared_with_P50_QAT,0.5,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50\seed_42,locked_not_started
tinyml_mlp__p50__seed_123,tinyml_mlp,P50,P50-FP32-FT,P50-FP32-FT,123,P50-noFT,identical_P50_noFT_state_shared_with_P50_QAT,0.5,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50\seed_123,locked_not_started
tinyml_mlp__p50__seed_2026,tinyml_mlp,P50,P50-FP32-FT,P50-FP32-FT,2026,P50-noFT,identical_P50_noFT_state_shared_with_P50_QAT,0.5,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50\seed_2026,locked_not_started
tinyml_mlp__p50__seed_3407,tinyml_mlp,P50,P50-FP32-FT,P50-FP32-FT,3407,P50-noFT,identical_P50_noFT_state_shared_with_P50_QAT,0.5,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50\seed_3407,locked_not_started
tinyml_mlp__p50__seed_8192,tinyml_mlp,P50,P50-FP32-FT,P50-FP32-FT,8192,P50-noFT,identical_P50_noFT_state_shared_with_P50_QAT,0.5,True,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50\seed_8192,locked_not_started
tinyml_mlp__dq__seed_42,tinyml_mlp,DQ,DQ,,42,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,dynamic_int8_conversion_no_updates,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_42,locked_not_started
tinyml_mlp__dq__seed_123,tinyml_mlp,DQ,DQ,,123,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,dynamic_int8_conversion_no_updates,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_123,locked_not_started
tinyml_mlp__dq__seed_2026,tinyml_mlp,DQ,DQ,,2026,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,dynamic_int8_conversion_no_updates,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_2026,locked_not_started
tinyml_mlp__dq__seed_3407,tinyml_mlp,DQ,DQ,,3407,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,dynamic_int8_conversion_no_updates,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_3407,locked_not_started
tinyml_mlp__dq__seed_8192,tinyml_mlp,DQ,DQ,,8192,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,dynamic_int8_conversion_no_updates,zero_update_budget,,,,0,0,,,not_applicable_deterministic_transform,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_8192,locked_not_started
tinyml_mlp__ptq__seed_42,tinyml_mlp,PTQ,PTQ,,42,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,static_int8_calibration_no_updates,zero_update_budget,,,,0,0,,,phase6_validation_calibration_selection,0,deferred_to_phase6,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\ptq\seed_42,locked_not_started
tinyml_mlp__ptq__seed_123,tinyml_mlp,PTQ,PTQ,,123,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,static_int8_calibration_no_updates,zero_update_budget,,,,0,0,,,phase6_validation_calibration_selection,0,deferred_to_phase6,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\ptq\seed_123,locked_not_started
tinyml_mlp__ptq__seed_2026,tinyml_mlp,PTQ,PTQ,,2026,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,static_int8_calibration_no_updates,zero_update_budget,,,,0,0,,,phase6_validation_calibration_selection,0,deferred_to_phase6,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\ptq\seed_2026,locked_not_started
tinyml_mlp__ptq__seed_3407,tinyml_mlp,PTQ,PTQ,,3407,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,static_int8_calibration_no_updates,zero_update_budget,,,,0,0,,,phase6_validation_calibration_selection,0,deferred_to_phase6,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\ptq\seed_3407,locked_not_started
tinyml_mlp__ptq__seed_8192,tinyml_mlp,PTQ,PTQ,,8192,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,static_int8_calibration_no_updates,zero_update_budget,,,,0,0,,,phase6_validation_calibration_selection,0,deferred_to_phase6,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\ptq\seed_8192,locked_not_started
tinyml_mlp__qat__seed_42,tinyml_mlp,QAT,QAT,,42,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,True,equal_budget_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_42,locked_not_started
tinyml_mlp__qat__seed_123,tinyml_mlp,QAT,QAT,,123,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,True,equal_budget_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_123,locked_not_started
tinyml_mlp__qat__seed_2026,tinyml_mlp,QAT,QAT,,2026,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,True,equal_budget_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_2026,locked_not_started
tinyml_mlp__qat__seed_3407,tinyml_mlp,QAT,QAT,,3407,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,True,equal_budget_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_3407,locked_not_started
tinyml_mlp__qat__seed_8192,tinyml_mlp,QAT,QAT,,8192,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,True,equal_budget_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_8192,locked_not_started
tinyml_mlp__p25_qat__seed_42,tinyml_mlp,P25-QAT,P25-QAT,,42,P25-noFT,identical_P25_noFT_state_shared_with_P25,0.25,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_42,locked_not_started
tinyml_mlp__p25_qat__seed_123,tinyml_mlp,P25-QAT,P25-QAT,,123,P25-noFT,identical_P25_noFT_state_shared_with_P25,0.25,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_123,locked_not_started
tinyml_mlp__p25_qat__seed_2026,tinyml_mlp,P25-QAT,P25-QAT,,2026,P25-noFT,identical_P25_noFT_state_shared_with_P25,0.25,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_2026,locked_not_started
tinyml_mlp__p25_qat__seed_3407,tinyml_mlp,P25-QAT,P25-QAT,,3407,P25-noFT,identical_P25_noFT_state_shared_with_P25,0.25,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_3407,locked_not_started
tinyml_mlp__p25_qat__seed_8192,tinyml_mlp,P25-QAT,P25-QAT,,8192,P25-noFT,identical_P25_noFT_state_shared_with_P25,0.25,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25_qat\seed_8192,locked_not_started
tinyml_mlp__p50_qat__seed_42,tinyml_mlp,P50-QAT,P50-QAT,,42,P50-noFT,identical_P50_noFT_state_shared_with_P50,0.5,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_42,locked_not_started
tinyml_mlp__p50_qat__seed_123,tinyml_mlp,P50-QAT,P50-QAT,,123,P50-noFT,identical_P50_noFT_state_shared_with_P50,0.5,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_123,locked_not_started
tinyml_mlp__p50_qat__seed_2026,tinyml_mlp,P50-QAT,P50-QAT,,2026,P50-noFT,identical_P50_noFT_state_shared_with_P50,0.5,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_2026,locked_not_started
tinyml_mlp__p50_qat__seed_3407,tinyml_mlp,P50-QAT,P50-QAT,,3407,P50-noFT,identical_P50_noFT_state_shared_with_P50,0.5,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_3407,locked_not_started
tinyml_mlp__p50_qat__seed_8192,tinyml_mlp,P50-QAT,P50-QAT,,8192,P50-noFT,identical_P50_noFT_state_shared_with_P50,0.5,True,True,equal_budget_pruned_quantization_aware_training,equal_update_budget,AdamW,0.00030000000000000003,4096,8,3,0.0002,0.0001,converted_int8_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_8192,locked_not_started
compact_dnn__b0__seed_42,compact_dnn,B0,B0,,42,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.001,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42,locked_not_started
compact_dnn__b0__seed_123,compact_dnn,B0,B0,,123,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.001,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123,locked_not_started
compact_dnn__b0__seed_2026,compact_dnn,B0,B0,,2026,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.001,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026,locked_not_started
compact_dnn__b0__seed_3407,compact_dnn,B0,B0,,3407,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.001,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407,locked_not_started
compact_dnn__b0__seed_8192,compact_dnn,B0,B0,,8192,,new_training_from_final_v3_2_cache,0.0,False,False,train_from_scratch,b0_budget,AdamW,0.001,4096,15,4,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192,locked_not_started
compact_dnn__fp32_ft__seed_42,compact_dnn,FP32-FT,FP32-FT,,42,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.0001,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\fp32_ft\seed_42,locked_not_started
compact_dnn__fp32_ft__seed_123,compact_dnn,FP32-FT,FP32-FT,,123,B0,matching_architecture_seed_B0_best_checkpoint,0.0,False,False,equal_budget_fp32_fine_tuning,equal_update_budget,AdamW,0.0001,4096,8,3,0.0002,0.0001,fp32_validation_fingerprint_macro_f1,1,exactly_once_after_lock,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\fp32_ft\seed_123,locked_not_started
