asset_order,asset_id,asset_type,source_id,source_type,field_order,field,role,relative_path,validation_status
1,figure_01_methodology_overview,figure,phase10_release_lock,json,2,archive_file_count,Deterministic release,results/v2/audit/phase10_release_archive_locked_v3_3.json,passed
1,figure_01_methodology_overview,figure,phase10_release_lock,json,3,deterministic_rebuild_exact,Deterministic release,results/v2/audit/phase10_release_archive_locked_v3_3.json,passed
1,figure_01_methodology_overview,figure,phase10_release_lock,json,4,release_locked,Deterministic release,results/v2/audit/phase10_release_archive_locked_v3_3.json,passed
1,figure_01_methodology_overview,figure,phase11_lock,json,1,model_count,Robustness evaluation scope,results/v2/audit/phase11_input_robustness_locked_v3_3.json,passed
1,figure_01_methodology_overview,figure,phase11_lock,json,2,condition_count,Robustness evaluation scope,results/v2/audit/phase11_input_robustness_locked_v3_3.json,passed
1,figure_01_methodology_overview,figure,phase11_lock,json,3,locked_evaluation_count,Robustness evaluation scope,results/v2/audit/phase11_input_robustness_locked_v3_3.json,passed
1,figure_01_methodology_overview,figure,phase11_lock,json,4,phase11_locked,Robustness evaluation scope,results/v2/audit/phase11_input_robustness_locked_v3_3.json,passed
2,figure_02_lodo_generalization,figure,lodo_device_model_matrix,csv,1,held_out_device,Per-device LODO performance,results/v2/early_lodo/global/early_lodo_device_model_matrix_v2.csv,passed
2,figure_02_lodo_generalization,figure,lodo_device_model_matrix,csv,2,model_id,Per-device LODO performance,results/v2/early_lodo/global/early_lodo_device_model_matrix_v2.csv,passed
2,figure_02_lodo_generalization,figure,lodo_device_model_matrix,csv,3,test_fingerprint_macro_f1,Per-device LODO performance,results/v2/early_lodo/global/early_lodo_device_model_matrix_v2.csv,passed
2,figure_02_lodo_generalization,figure,lodo_device_model_matrix,csv,4,benign_fnr,Per-device LODO performance,results/v2/early_lodo/global/early_lodo_device_model_matrix_v2.csv,passed
2,figure_02_lodo_generalization,figure,lodo_device_model_matrix,csv,5,gafgyt_fnr,Per-device LODO performance,results/v2/early_lodo/global/early_lodo_device_model_matrix_v2.csv,passed
2,figure_02_lodo_generalization,figure,lodo_device_model_matrix,csv,6,mirai_fnr,Per-device LODO performance,results/v2/early_lodo/global/early_lodo_device_model_matrix_v2.csv,passed
2,figure_02_lodo_generalization,figure,lodo_device_model_matrix,csv,7,local_severe_signal,Per-device LODO performance,results/v2/early_lodo/global/early_lodo_device_model_matrix_v2.csv,passed
2,figure_02_lodo_generalization,figure,lodo_global_summary,json,1,model_ranking,Global LODO summary,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
2,figure_02_lodo_generalization,figure,lodo_global_summary,json,2,global_statistics.mean_cell_test_macro_f1,Global LODO summary,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
2,figure_02_lodo_generalization,figure,lodo_global_summary,json,3,global_statistics.minimum_cell_test_macro_f1,Global LODO summary,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
2,figure_02_lodo_generalization,figure,lodo_global_summary,json,4,gate.status,Global LODO summary,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
3,figure_03_compression_tradeoff,figure,phase5_group_summary,csv,1,architecture,Accuracy and compression characteristics,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase5_group_summary,csv,2,variant,Accuracy and compression characteristics,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase5_group_summary,csv,3,representation,Accuracy and compression characteristics,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase5_group_summary,csv,4,mean_test_fingerprint_macro_f1,Accuracy and compression characteristics,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase5_group_summary,csv,5,mean_state_size_ratio_vs_float,Accuracy and compression characteristics,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase5_group_summary,csv,6,fragility_triggered_in_any_run,Accuracy and compression characteristics,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase6_group_summary,csv,1,architecture,Deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase6_group_summary,csv,2,variant,Deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase6_group_summary,csv,3,representation,Deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase6_group_summary,csv,4,mean_serialized_state_dict_bytes,Deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase6_group_summary,csv,5,mean_peak_inference_RSS_delta_bytes,Deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase6_group_summary,csv,6,mean_batch_1_median_ms,Deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
3,figure_03_compression_tradeoff,figure,phase6_group_summary,csv,7,mean_batch_32_samples_per_second,Deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,1,architecture,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,2,variant,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,3,candidate_role,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,4,representation,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,5,mean_test_fingerprint_macro_f1,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,6,mean_serialized_state_dict_bytes,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,7,mean_batch_1_median_ms,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,8,mean_batch_32_samples_per_second,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_input_matrix,csv,9,fragility_triggered_in_any_run,Candidate decision space,results/v2/audit/phase8_multi_objective_decision_input_matrix_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,1,profile,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,2,primary_profile,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,3,architecture,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,4,variant,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,5,eligible,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,6,Pareto_nondominated,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,7,dominated_by_count,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,8,deployment_improvement_count,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_pareto_results,csv,9,failed_gates,Pareto eligibility and dominance,results/v2/audit/phase8_multi_objective_pareto_results_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,1,profile,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,2,primary_profile,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,3,eligible_candidate_count,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,4,Pareto_candidate_count,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,5,selected_architecture,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,6,selected_variant,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,7,selected_representation,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_selection_trace,csv,8,selection_rule,Profile-specific selection,results/v2/audit/phase8_multi_objective_selection_trace_v3_2.csv,passed
4,figure_04_pareto_selection,figure,phase8_final_model_lock,json,1,primary_profile,Locked final family,results/v2/audit/phase8_final_model_family_locked_v3_2.json,passed
4,figure_04_pareto_selection,figure,phase8_final_model_lock,json,2,selected_model_family.candidate_id,Locked final family,results/v2/audit/phase8_final_model_family_locked_v3_2.json,passed
4,figure_04_pareto_selection,figure,phase8_final_model_lock,json,3,sensitivity_profile_selections,Locked final family,results/v2/audit/phase8_final_model_family_locked_v3_2.json,passed
4,figure_04_pareto_selection,figure,phase8_final_model_lock,json,4,selection_stable_across_profiles,Locked final family,results/v2/audit/phase8_final_model_family_locked_v3_2.json,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,1,model_id,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,2,condition_id,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,3,condition_family,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,4,severity,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,5,fingerprint_macro_f1,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,6,macro_f1_drop_from_model_clean,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,7,macro_f1_retention_ratio,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,8,severe_fragility,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_all_runs,csv,9,material_sensitivity,Condition-level robustness,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_all_runs_v3_3.csv,passed
5,figure_05_input_robustness,figure,phase11_summary,json,1,model_summaries,Robustness summary,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_summary_v3_3.json,passed
5,figure_05_input_robustness,figure,phase11_summary,json,2,severe_fragility_evaluation_count,Robustness summary,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_summary_v3_3.json,passed
5,figure_05_input_robustness,figure,phase11_summary,json,3,material_sensitivity_evaluation_count,Robustness summary,results/v2/phase11_input_robustness_v3_3/phase11_input_robustness_summary_v3_3.json,passed
6,table_01_dataset_protocol,table,lodo_global_summary,json,1,scope.device_count,LODO dataset and evaluation protocol,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
6,table_01_dataset_protocol,table,lodo_global_summary,json,2,scope.model_count,LODO dataset and evaluation protocol,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
6,table_01_dataset_protocol,table,lodo_global_summary,json,3,scope.scientific_run_count,LODO dataset and evaluation protocol,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
6,table_01_dataset_protocol,table,lodo_global_summary,json,4,scope.two_class_test_devices,LODO dataset and evaluation protocol,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
6,table_01_dataset_protocol,table,lodo_global_summary,json,5,locked_thresholds,LODO dataset and evaluation protocol,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
6,table_01_dataset_protocol,table,lodo_global_summary,json,6,interpretation.class_coverage_note,LODO dataset and evaluation protocol,results/v2/early_lodo/global/early_lodo_global_summary_v2.json,passed
6,table_01_dataset_protocol,table,phase4_summary,json,1,model_count,Classical baseline protocol,results/v2/audit/phase4_classical_baselines_summary_v3_2.json,passed
6,table_01_dataset_protocol,table,phase4_summary,json,2,total_run_count,Classical baseline protocol,results/v2/audit/phase4_classical_baselines_summary_v3_2.json,passed
6,table_01_dataset_protocol,table,phase4_summary,json,3,interpretation_policy,Classical baseline protocol,results/v2/audit/phase4_classical_baselines_summary_v3_2.json,passed
6,table_01_dataset_protocol,table,phase4_summary,json,4,scientific_caveats,Classical baseline protocol,results/v2/audit/phase4_classical_baselines_summary_v3_2.json,passed
6,table_01_dataset_protocol,table,phase5_closure,json,1,architecture_count,Compression protocol,results/v2/audit/phase5_compression_closure_v3_2.json,passed
6,table_01_dataset_protocol,table,phase5_closure,json,2,variant_count,Compression protocol,results/v2/audit/phase5_compression_closure_v3_2.json,passed
6,table_01_dataset_protocol,table,phase5_closure,json,3,seed_count,Compression protocol,results/v2/audit/phase5_compression_closure_v3_2.json,passed
6,table_01_dataset_protocol,table,phase5_closure,json,4,final_run_count,Compression protocol,results/v2/audit/phase5_compression_closure_v3_2.json,passed
6,table_01_dataset_protocol,table,phase5_closure,json,5,test_evaluation_count_total,Compression protocol,results/v2/audit/phase5_compression_closure_v3_2.json,passed
6,table_01_dataset_protocol,table,phase5_closure,json,6,final_checks,Compression protocol,results/v2/audit/phase5_compression_closure_v3_2.json,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,1,descriptive_macro_f1_rank,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,2,model_id,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,3,display_name,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,4,run_count,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,5,seed_policy,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,6,input_space,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,7,mean_test_fingerprint_macro_f1,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,8,std_test_fingerprint_macro_f1,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,9,mean_test_raw_weighted_macro_f1,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,10,mean_test_gafgyt_fnr,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,11,mean_test_mirai_fnr,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,12,scientific_status,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
7,table_02_classical_baselines,table,phase4_model_summary,csv,13,important_caveat,Baseline performance table,results/v2/audit/phase4_classical_baselines_model_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,1,architecture,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,2,variant,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,3,representation,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,4,run_count,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,5,mean_test_fingerprint_macro_f1,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,6,std_test_fingerprint_macro_f1,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,7,mean_test_raw_weighted_macro_f1,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,8,mean_state_size_ratio_vs_float,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_group_summary,csv,9,fragility_triggered_in_any_run,Grouped compression results,results/v2/audit/phase5_compression_group_summary_v3_2.csv,passed
8,table_03_compression_results,table,phase5_closure,json,1,final_run_count,Compression closure notes,results/v2/audit/phase5_compression_closure_v3_2.json,passed
8,table_03_compression_results,table,phase5_closure,json,2,group_count,Compression closure notes,results/v2/audit/phase5_compression_closure_v3_2.json,passed
8,table_03_compression_results,table,phase5_closure,json,3,fragility_groups,Compression closure notes,results/v2/audit/phase5_compression_closure_v3_2.json,passed
8,table_03_compression_results,table,phase5_closure,json,4,final_checks,Compression closure notes,results/v2/audit/phase5_compression_closure_v3_2.json,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,1,architecture,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,2,variant,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,3,representation,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,4,run_count,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,5,mean_serialized_state_dict_bytes,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,6,mean_peak_inference_RSS_delta_bytes,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,7,mean_batch_1_median_ms,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,8,std_batch_1_median_ms,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,9,mean_batch_1_p95_ms,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,10,mean_batch_32_samples_per_second,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,11,validation_data_access,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_group_summary,csv,12,test_data_access,Grouped deployment measurements,results/v2/audit/phase6_deployment_benchmark_group_summary_v3_2.csv,passed
9,table_04_deployment_benchmarks,table,phase6_summary,json,1,runtime_policy,Benchmark execution protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
9,table_04_deployment_benchmarks,table,phase6_summary,json,2,data_access,Benchmark execution protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
9,table_04_deployment_benchmarks,table,phase6_summary,json,3,global_checks,Benchmark execution protocol,results/v2/audit/phase6_deployment_benchmark_summary_v3_2.json,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,1,endpoint_class,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,2,architecture,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,3,metric,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,4,block_count,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,5,variant_count,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,6,friedman_statistic,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,7,kendalls_W,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,8,monte_carlo_p_plus_one,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_omnibus,csv,9,monte_carlo_reject_nominal,Omnibus statistical results,results/v2/audit/phase7_statistical_omnibus_results_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_posthoc_verified,csv,1,endpoint_class,Verified post-hoc comparisons,results/v2/audit/phase7_statistical_posthoc_verified_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_posthoc_verified,csv,2,architecture,Verified post-hoc comparisons,results/v2/audit/phase7_statistical_posthoc_verified_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_posthoc_verified,csv,3,metric,Verified post-hoc comparisons,results/v2/audit/phase7_statistical_posthoc_verified_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_posthoc_verified,csv,4,reference_variant,Verified post-hoc comparisons,results/v2/audit/phase7_statistical_posthoc_verified_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_posthoc_verified,csv,5,candidate_variant,Verified post-hoc comparisons,results/v2/audit/phase7_statistical_posthoc_verified_v3_2.csv,passed
10,table_05_statistical_analysis,table,phase7_posthoc_verified,csv,6,mean_improvement_delta,Verified post-hoc comparisons,results/v2/audit/phase7_statistical_posthoc_verified_v3_2.csv,passed
